NACA 4826
1.00000000	0.00000000
0.99120639	0.00737821
0.96141901	0.02780387
0.91067658	0.05627961
0.83790092	0.08493236
0.74957205	0.10641574
0.65289646	0.12566182
0.54895415	0.14166353
0.44240563	0.15217168
0.33816990	0.15510244
0.24117087	0.14890621
0.15602866	0.13301982
0.08673904	0.10814742
0.03641435	0.07613446
0.00714702	0.03938217
0.00000000	0.00000000
0.01470538	-0.03719269
0.05004020	-0.06768804
0.10424397	-0.09014458
0.17484073	-0.10330628
0.25882913	-0.10667396
0.35281311	-0.10088757
0.45306591	-0.08765592
0.55557432	-0.06931838
0.65612054	-0.04829962
0.75042795	-0.02672607
0.83122968	-0.00733879
0.89834041	0.00184506
0.95212645	0.00301719
0.98694121	0.00111317
1.00000000	0.00000000

